profile,source_url,original,raw_normalized,research_area_normalized,matched_candidate_terms,matched_sources,matched_cuis,has_umls_match,final_output,final_output_simplified,final_output_simplified_cleaned,research_tag_publishable
Jennifer Thannhauser,https://profiles.ucalgary.ca/jennifer-thannhauser,resilience in the post-secondary context,resilience in the post-secondary context,"Secondary polycythemia | Resilience, Psychological | The Resilience Scale | The Brief Resilience Scale | Hyperparathyroidism, Secondary",,MTH | MSH,C5848252 | C0683253 | C5829015 | C4727156 | C0020503,yes,"Secondary polycythemia | Resilience, Psychological | The Resilience Scale | The Brief Resilience Scale | Hyperparathyroidism, Secondary",The Resilience Scale,Resilience,Resilience
Jennifer Thannhauser,https://profiles.ucalgary.ca/jennifer-thannhauser,pediatric chronic illness,pediatric chronic illness,Reported history of chronic illness | Chronic pediatric feeding disorder | Chronic illness perception assessment scale | Verbalizes chronic illness diagnosis and severity,pediatric chronic illness | pediatric chronic | chronic illness,MTH | SNOMEDCT_US,C2186378 | C5539318 | C1828261 | C1640364,yes,Reported history of chronic illness | Chronic pediatric feeding disorder | Chronic illness perception assessment scale | Verbalizes chronic illness diagnosis and severity,Reported history of chronic illness,Chronic Illness,Chronic Illness
Jennifer Thannhauser,https://profiles.ucalgary.ca/jennifer-thannhauser,post-secondary mental health evaluation,post-secondary mental health evaluation,mental health annual evaluation note,mental health evaluation,MTH,C5890065,yes,mental health annual evaluation note,mental health annual evaluation note,Mental Health Evaluation,Mental Health Evaluation
Jennifer Thannhauser,https://profiles.ucalgary.ca/jennifer-thannhauser,post-secondary mental health,post-secondary mental health,Secondary post tonsillectomy hemorrhage,post secondary,SNOMEDCT_US,C1279604,yes,Secondary post tonsillectomy hemorrhage,Secondary post tonsillectomy hemorrhage,Secondary Post,Secondary Post
Jennifer Thannhauser,https://profiles.ucalgary.ca/jennifer-thannhauser,cross-national partnership will explore student resilience,cross-national partnership will explore student resilience,,,,,no,cross-national partnership will explore student resilience,cross-national partnership will explore student resilience,Cross National Partnership Will Explore Student Resilience,
Jennifer Thannhauser,https://profiles.ucalgary.ca/jennifer-thannhauser,examining resilience from the perspective of marginalized,examining resilience from the perspective of marginalized,"Ophthalmic examination and evaluation | Neurologic Examination | Manual pelvic examination (procedure) | Resilience, Psychological | The Resilience Scale",,MTH | MSH,C0200149 | C0027853 | C0200045 | C0683253 | C5829015,yes,"Ophthalmic examination and evaluation | Neurologic Examination | Manual pelvic examination (procedure) | Resilience, Psychological | The Resilience Scale",The Resilience Scale,Resilience,Resilience
Jennifer Thannhauser,https://profiles.ucalgary.ca/jennifer-thannhauser,ucalgary's community mental health,ucalgary s community mental health,Mental Depression | Mental disorders | Mental Retardation | Mental Orientation | Mental handicap,community mental health,MTH,C0011570 | C0004936 | C0025362 | C0029266 | C1306341,yes,Mental Depression | Mental disorders | Mental Retardation | Mental Orientation | Mental handicap,ucalgary's community mental health,Ucalgary S Community Mental Health,
Jennifer Thannhauser,https://profiles.ucalgary.ca/jennifer-thannhauser,social mobility,social mobility,Mobile Social Networks | Mobility - social functioning,social mobility,MSH | SNOMEDCT_US,C5828598 | C0425244,yes,Mobile Social Networks | Mobility - social functioning,Mobility - social functioning,Mobility Social,Mobility Social
Jennifer Thannhauser,https://profiles.ucalgary.ca/jennifer-thannhauser,renewed campus mental health strategy),renewed campus mental health strategy,Mental Depression | Mental disorders | Mental Retardation | Mental Orientation | Mental handicap,,MTH,C0011570 | C0004936 | C0025362 | C0029266 | C1306341,yes,Mental Depression | Mental disorders | Mental Retardation | Mental Orientation | Mental handicap,renewed campus mental health strategy),Renewed Campus Mental Health Strategy,
Jennifer Thannhauser,https://profiles.ucalgary.ca/jennifer-thannhauser,whole-institution approach to mental health,whole-institution approach to mental health,Mental health care program approach contingency plan | Mental health care program approach crisis plan,approach mental health,SNOMEDCT_US,C4706344 | C4706394,yes,Mental health care program approach contingency plan | Mental health care program approach crisis plan,Mental health care program approach crisis plan,Mental Health Approach,Mental Health Approach
Jennifer Thannhauser,https://profiles.ucalgary.ca/jennifer-thannhauser,development funds,development funds,Pervasive Development Disorder | Psychosexual Development | Funds vaccine purchased with,,MTH,C0524528 | C0033944 | C1115509,yes,Pervasive Development Disorder | Psychosexual Development | Funds vaccine purchased with,development funds,Development Funds,Development Funds
Jenny Godley,https://profiles.ucalgary.ca/jenny-godley,social determinants of health,social determinants of health,Social Determinants of Health | Commercial Determinants of Health,social determinants of health | social determinants health | social determinants | determinants health,MTH | MSH,C3658315 | C5828614,yes,Social Determinants of Health | Commercial Determinants of Health,Social Determinants of Health,Social Determinants Of Health,Social Determinants Of Health
Jenny Godley,https://profiles.ucalgary.ca/jenny-godley,social network analysis,social network analysis,Social network note | Network Meta-Analysis | Social network therapy,social network analysis | social network | network analysis,MTH | MSH | SNOMEDCT_US,C5981357 | C5940653 | C0204565,yes,Social network note | Network Meta-Analysis | Social network therapy,Social network note,Social Network,Social Network
Jenny Godley,https://profiles.ucalgary.ca/jenny-godley,weight-related health,weight-related health,Health-related behavior finding | Health insurance-related form | Finding related to ability to transfer weight | Finding related to ability to weight-bear,weight related | related health,MTH | SNOMEDCT_US,C1287492 | C3173820 | C1286545 | C1286542,yes,Health-related behavior finding | Health insurance-related form | Finding related to ability to transfer weight | Finding related to ability to weight-bear,Health-related behavior finding,Health Related Behavior,Health Related Behavior
Jenny Godley,https://profiles.ucalgary.ca/jenny-godley,health behaviour,health behaviour,mental health | Rutter Behaviour Questionnaire,health behaviour,MTH | SNOMEDCT_US,C0025353 | C0475508,yes,mental health | Rutter Behaviour Questionnaire,health behaviour,Health Behaviour,Health Behaviour
Jenny Godley,https://profiles.ucalgary.ca/jenny-godley,ethics in the social sciences,ethics in the social sciences,"Phobia, Social | Social Problems",social sciences,MSH,C0031572 | C0037431,yes,"Phobia, Social | Social Problems",ethics in the social sciences,Ethics In The Social Sciences,
Jenny Godley,https://profiles.ucalgary.ca/jenny-godley,epidemiology,epidemiology,,epidemiology,,,no,epidemiology,epidemiology,Epidemiology,Epidemiology
Jessalyn Holodinsky,https://profiles.ucalgary.ca/jessalyn-holodinsky,healthcare delivery optimization,healthcare delivery optimization,Provider satisfaction with healthcare delivery | Patient satisfaction with healthcare delivery,healthcare delivery,MTH,C4018889 | C4018915,yes,Provider satisfaction with healthcare delivery | Patient satisfaction with healthcare delivery,Provider satisfaction with healthcare delivery,Healthcare Delivery,Healthcare Delivery
Jessalyn Holodinsky,https://profiles.ucalgary.ca/jessalyn-holodinsky,machine learning,machine learning,Machine Learning | Supervised Machine Learning | Unsupervised Machine Learning | Inductive Machine Learning | Representation Machine Learning,machine learning,MSH,C0376284 | C4042903 | C4042902 | C4046035 | C5940532,yes,Machine Learning | Supervised Machine Learning | Unsupervised Machine Learning | Inductive Machine Learning | Representation Machine Learning,Machine Learning,Machine Learning,Machine Learning
Jessalyn Holodinsky,https://profiles.ucalgary.ca/jessalyn-holodinsky,respiratory vaccinations and the prevention of cardiovascular events,respiratory vaccinations and the prevention of cardiovascular events,Respiratory Failure | Respiratory Insufficiency | Respiratory arrest | Respiratory distress | Vaccination,,MTH,C1145670 | C0035229 | C0162297 | C0476273 | C0042196,yes,Respiratory Failure | Respiratory Insufficiency | Respiratory arrest | Respiratory distress | Vaccination,respiratory vaccinations and the prevention of cardiovascular events,Respiratory Vaccinations And The Prevention Of Cardiovascular Events,
Jessalyn Holodinsky,https://profiles.ucalgary.ca/jessalyn-holodinsky,stroke,stroke,Heat Stroke | Ischemic stroke | Hemorrhagic Stroke | Embolic Stroke,stroke,MTH | MSH,C0018843 | C0948008 | C5234922 | C0262469,yes,Heat Stroke | Ischemic stroke | Hemorrhagic Stroke | Embolic Stroke,Heat Stroke,Stroke,Stroke
Jessalyn Holodinsky,https://profiles.ucalgary.ca/jessalyn-holodinsky,health services research,health services research,Health Services Research | Health Services Accessibility,health services research | health services | services research,MTH,C0018757 | C0018748,yes,Health Services Research | Health Services Accessibility,Health Services Research,Health Services Research,Health Services Research
Jessalyn Holodinsky,https://profiles.ucalgary.ca/jessalyn-holodinsky,health systems,health systems,Health Systems Plans | Health Information Systems,health systems,MTH | MSH,C0018764 | C0679918,yes,Health Systems Plans | Health Information Systems,Health Systems Plans,Health Systems,Health Systems
Jessalyn Holodinsky,https://profiles.ucalgary.ca/jessalyn-holodinsky,epidemiology,epidemiology,,epidemiology,,,no,epidemiology,epidemiology,Epidemiology,Epidemiology
Jillian Miller,https://profiles.ucalgary.ca/jillian-miller,neuroimaging,neuroimaging,Neuroimaging | Functional Neuroimaging,neuroimaging,MTH | MSH,C0679575 | C3178877,yes,Neuroimaging | Functional Neuroimaging,Neuroimaging,Neuroimaging,Neuroimaging
Jillian Miller,https://profiles.ucalgary.ca/jillian-miller,pain,pain,Pain | Chest Pain | Back Pain | Low Back Pain | Abdominal Pain,pain,MTH,C0030193 | C0008031 | C0004604 | C0024031 | C0000737,yes,Pain | Chest Pain | Back Pain | Low Back Pain | Abdominal Pain,Pain,Pain,Pain
Jillian Miller,https://profiles.ucalgary.ca/jillian-miller,prioritize the development of future clinical scientists,prioritize the development of future clinical scientists,Pervasive Development Disorder | Psychosexual Development | Feeling hopeful about the future | Hopeful for the future,,MTH | SNOMEDCT_US,C0524528 | C0033944 | C5671243 | C2712144,yes,Pervasive Development Disorder | Psychosexual Development | Feeling hopeful about the future | Hopeful for the future,Hopeful for the future,Future,Future
Joanne Park,https://profiles.ucalgary.ca/joanne-park,child outcomes,child outcomes,Child at risk,child outcomes,SNOMEDCT_US,C0425119,yes,Child at risk,child outcomes,Child Outcomes,Child Outcomes
Joanne Park,https://profiles.ucalgary.ca/joanne-park,drawing from various models of social cognition,drawing from various models of social cognition,Drawings (art) | Drawing neck | various allergen extracts | various antiseptic throat preparations | Iron in various other combinations,,MTH,C0013113 | C0235043 | C3540765 | C3540766 | C3540767,yes,Drawings (art) | Drawing neck | various allergen extracts | various antiseptic throat preparations | Iron in various other combinations,drawing from various models of social cognition,Drawing From Various Models Of Social Cognition,
Joanne Park,https://profiles.ucalgary.ca/joanne-park,experimental designs,experimental designs,Experimental Design,experimental designs,MTH,C0015320,yes,Experimental Design,Experimental Design,Experimental Design,Experimental Design
Joanne Park,https://profiles.ucalgary.ca/joanne-park,resilience factors associated with child,resilience factors associated with child,risk factors | Biological Factors | R Factors | Immunologic Factors | Nerve Growth Factors,,MTH,C0035648 | C0005515 | C0034471 | C0021054 | C0027754,yes,risk factors | Biological Factors | R Factors | Immunologic Factors | Nerve Growth Factors,resilience factors associated with child,Resilience Factors Associated With Child,
Joanne Park,https://profiles.ucalgary.ca/joanne-park,adolescent mental health,adolescent mental health,mental health | Mental health treatment,adolescent mental health | adolescent mental | mental health,MTH | SNOMEDCT_US,C0025353 | C0184647,yes,mental health | Mental health treatment,mental health,Mental Health,Mental Health
Joanne Park,https://profiles.ucalgary.ca/joanne-park,encompassing family-level factors alongside other sociodemographic,encompassing family-level factors alongside other sociodemographic,,,,,no,encompassing family-level factors alongside other sociodemographic,encompassing family-level factors alongside other sociodemographic,Encompassing Family Level Factors Alongside Other Sociodemographic,
Joanne Park,https://profiles.ucalgary.ca/joanne-park,mental health,mental health,mental health | Mental health treatment,mental health,MTH | SNOMEDCT_US,C0025353 | C0184647,yes,mental health | Mental health treatment,mental health,Mental Health,Mental Health
Jodie Burton,https://profiles.ucalgary.ca/jodie-burton,epidemiology,epidemiology,,epidemiology,,,no,epidemiology,epidemiology,Epidemiology,Epidemiology
Jodie Burton,https://profiles.ucalgary.ca/jodie-burton,namely optical coherence tomography metrics,namely optical coherence tomography metrics,"Tomography, Optical Coherence | Optical coherence tomography panel | Optical coherence tomography study | Ophthalmic optical coherence tomography | Optical coherence tomography performed",optical coherence tomography,MTH,C0920367 | C2733800 | C4522328 | C2738734 | C4050077,yes,"Tomography, Optical Coherence | Optical coherence tomography panel | Optical coherence tomography study | Ophthalmic optical coherence tomography | Optical coherence tomography performed",Optical coherence tomography panel,Optical Coherence Tomography,Optical Coherence Tomography
Jodie Burton,https://profiles.ucalgary.ca/jodie-burton,additional endpoints include conversion to clinically definite ms,additional endpoints include conversion to clinically definite ms,,,,,no,additional endpoints include conversion to clinically definite ms,additional endpoints include conversion to clinically definite ms,Additional Endpoints Include Conversion To Clinically Definite Ms,
Jodie Burton,https://profiles.ucalgary.ca/jodie-burton,advanced mri measures,advanced mri measures,MRI for measurement of brain volume,mri measures,SNOMEDCT_US,C3697909,yes,MRI for measurement of brain volume,advanced mri measures,Advanced Mri Measures,Advanced Mri Measures
Jodie Burton,https://profiles.ucalgary.ca/jodie-burton,registry-based evaluation of neuromyelitis optica spectrum disorder,registry-based evaluation of neuromyelitis optica spectrum disorder,,,,,no,registry-based evaluation of neuromyelitis optica spectrum disorder,registry-based evaluation of neuromyelitis optica spectrum disorder,Registry Based Evaluation Of Neuromyelitis Optica Spectrum Disorder,
Jodie Burton,https://profiles.ucalgary.ca/jodie-burton,mog associated disease in alberta,mog associated disease in alberta,Myelin Oligodendrocyte Glycoprotein Antibody-Associated Disease,mog associated disease | mog associated,MSH,C5554054,yes,Myelin Oligodendrocyte Glycoprotein Antibody-Associated Disease,Myelin Oligodendrocyte Glycoprotein Antibody-Associated Disease,Mog Associated Disease In Alberta,
Jodie Roberts,https://profiles.ucalgary.ca/jodie-roberts,health services research,health services research,Health Services Research | Health Services Accessibility,health services research | health services | services research,MTH,C0018757 | C0018748,yes,Health Services Research | Health Services Accessibility,Health Services Research,Health Services Research,Health Services Research
Jodie Roberts,https://profiles.ucalgary.ca/jodie-roberts,epidemiology,epidemiology,,epidemiology,,,no,epidemiology,epidemiology,Epidemiology,Epidemiology
Joern Davidsen,https://profiles.ucalgary.ca/joern-davidsen,alzheimer disease,alzheimer disease,Alzheimer's Disease | ALZHEIMER DISEASE 2 | ALZHEIMER DISEASE 4 | Alzheimer Disease 9,alzheimer disease,MTH,C0002395 | C1863051 | C1847200 | C1837149,yes,Alzheimer's Disease | ALZHEIMER DISEASE 2 | ALZHEIMER DISEASE 4 | Alzheimer Disease 9,Alzheimer's Disease,Alzheimer Disease,Alzheimer Disease
Joern Davidsen,https://profiles.ucalgary.ca/joern-davidsen,computational neuroscience & the critical brain,computational neuroscience the critical brain,Computational Modelling | Computational Technique | Critical Pathways | Critical Illness | Critical incident,,MTH | MSH | SNOMEDCT_US,C5544479 | C1516769 | C0282655 | C0010340 | C1320736,yes,Computational Modelling | Computational Technique | Critical Pathways | Critical Illness | Critical incident,computational neuroscience & the critical brain,Computational Neuroscience The Critical Brain,
Joern Davidsen,https://profiles.ucalgary.ca/joern-davidsen,network neuroscience,network neuroscience,,,,,no,network neuroscience,network neuroscience,Network Neuroscience,Network Neuroscience
Joern Davidsen,https://profiles.ucalgary.ca/joern-davidsen,mental health strategy,mental health strategy,mental health | Mental health treatment,mental health,MTH | SNOMEDCT_US,C0025353 | C0184647,yes,mental health | Mental health treatment,mental health,Mental Health,Mental Health
Johanna Ospel,https://profiles.ucalgary.ca/johanna-ospel,clinical outcomes,clinical outcomes,Clinical Trials | Nutrition outcomes | Expected outcomes | R-Outcomes | Elimination outcomes,clinical outcomes,MTH,C0008976 | C0518896 | C2963499 | C5445044 | C0518891,yes,Clinical Trials | Nutrition outcomes | Expected outcomes | R-Outcomes | Elimination outcomes,clinical outcomes,Clinical Outcomes,Clinical Outcomes
Johanna Ospel,https://profiles.ucalgary.ca/johanna-ospel,stroke,stroke,Heat Stroke | Ischemic stroke | Hemorrhagic Stroke | Embolic Stroke,stroke,MTH | MSH,C0018843 | C0948008 | C5234922 | C0262469,yes,Heat Stroke | Ischemic stroke | Hemorrhagic Stroke | Embolic Stroke,Heat Stroke,Stroke,Stroke
Johanna Ospel,https://profiles.ucalgary.ca/johanna-ospel,imaging-based outcome prediction,imaging-based outcome prediction,Barium-based radiographic imaging contrast media,imaging based,SNOMEDCT_US,C5968585,yes,Barium-based radiographic imaging contrast media,imaging-based outcome prediction,Imaging Based Outcome Prediction,Imaging Based Outcome Prediction
Johnathan Canton,https://profiles.ucalgary.ca/johnathan-canton,effector cells,effector cells,"Caspases, Effector",effector cells,MSH,C1720985,yes,"Caspases, Effector",effector cells,Effector Cells,Effector Cells
Johnathan Canton,https://profiles.ucalgary.ca/johnathan-canton,cell science,cell science,,,,,no,cell science,cell science,Cell Science,Cell Science
John Duncan McLennan,https://profiles.ucalgary.ca/john-duncan-mclennan,epidemiology,epidemiology,,epidemiology,,,no,epidemiology,epidemiology,Epidemiology,Epidemiology
John (Gregory) Cairncross,https://profiles.ucalgary.ca/john-gregory-cairncross,in neurology in new york,in neurology in new york,hemoglobin New York | fibrinogen New York 1 | New York protocol,new york,MTH | MSH,C0062410 | C0623825 | C0208342,yes,hemoglobin New York | fibrinogen New York 1 | New York protocol,hemoglobin New York,New York,New York
John (Gregory) Cairncross,https://profiles.ucalgary.ca/john-gregory-cairncross,he founded the brain tumor,he founded the brain tumor,"Brain Tumor, Primary | Embryonal tumor of brain | Destruction of brain tumor",brain tumor,MTH | SNOMEDCT_US,C0750974 | C0346292 | C0472408,yes,"Brain Tumor, Primary | Embryonal tumor of brain | Destruction of brain tumor",Destruction of brain tumor,Brain Tumor,Brain Tumor
John (Gregory) Cairncross,https://profiles.ucalgary.ca/john-gregory-cairncross,type of brain cancer,type of brain cancer,PROSTATE CANCER/BRAIN CANCER SUSCEPTIBILITY | Brain calcification Rajab type | History of cancer metastatic to brain | Functional Assessment of Cancer Therapy - Brain,type brain | brain cancer,MTH | SNOMEDCT_US,C1863600 | C3150910 | C4040215 | C5396523,yes,PROSTATE CANCER/BRAIN CANCER SUSCEPTIBILITY | Brain calcification Rajab type | History of cancer metastatic to brain | Functional Assessment of Cancer Therapy - Brain,History of cancer metastatic to brain,Cancer To Brain,Cancer To Brain
John Wong,https://profiles.ucalgary.ca/john-wong,stroke,stroke,Heat Stroke | Ischemic stroke | Hemorrhagic Stroke | Embolic Stroke,stroke,MTH | MSH,C0018843 | C0948008 | C5234922 | C0262469,yes,Heat Stroke | Ischemic stroke | Hemorrhagic Stroke | Embolic Stroke,Heat Stroke,Stroke,Stroke
John Wong,https://profiles.ucalgary.ca/john-wong,vascular malformations,vascular malformations,"Peripheral Vascular Diseases | GLOMUVENOUS MALFORMATIONS | Vascular Diseases | Dementia, Vascular",vascular malformations,MTH | MSH,C0085096 | C1841984 | C0042373 | C0011269,yes,"Peripheral Vascular Diseases | GLOMUVENOUS MALFORMATIONS | Vascular Diseases | Dementia, Vascular",vascular malformations,Vascular Malformations,Vascular Malformations
Jonathan Epp,https://profiles.ucalgary.ca/jonathan-epp,dementia,dementia,"Dementia | Presenile dementia | Senile dementia | Multi-infarct dementia | Dementia, Vascular",dementia,MTH | MSH,C0497327 | C0011265 | C0011268 | C0011263 | C0011269,yes,"Dementia | Presenile dementia | Senile dementia | Multi-infarct dementia | Dementia, Vascular",Dementia,Dementia,Dementia
Jonathan Epp,https://profiles.ucalgary.ca/jonathan-epp,cognitive disorders,cognitive disorders,Cognition Disorders | Postoperative Cognitive Disorders | Impaired cognition | Memory Disorders,cognitive disorders,MTH | MSH,C0009241 | C5691260 | C0338656 | C0025261,yes,Cognition Disorders | Postoperative Cognitive Disorders | Impaired cognition | Memory Disorders,Postoperative Cognitive Disorders,Cognitive Disorders,Cognitive Disorders
Jonathan Epp,https://profiles.ucalgary.ca/jonathan-epp,adult neurogenesis,adult neurogenesis,Adult hypophosphatasia | Adult Teratoma | Adult rhabdomyoma | Urinary Bladder Neurogenesis,,MTH | MSH,C0268413 | C1368898 | C0334483 | C0750953,yes,Adult hypophosphatasia | Adult Teratoma | Adult rhabdomyoma | Urinary Bladder Neurogenesis,adult neurogenesis,Adult Neurogenesis,Adult Neurogenesis
Jonathan Epp,https://profiles.ucalgary.ca/jonathan-epp,examining how this occurs at the cellular,examining how this occurs at the cellular,Ophthalmic examination and evaluation | Neurologic Examination | pelvic pain occurs with intercourse | pelvic pain occurs with urination | Cellular,,MTH,C0200149 | C0027853 | C3539893 | C3539896 | C0178539,yes,Ophthalmic examination and evaluation | Neurologic Examination | pelvic pain occurs with intercourse | pelvic pain occurs with urination | Cellular,examining how this occurs at the cellular,Examining How This Occurs At The Cellular,
Jonathan Epp,https://profiles.ucalgary.ca/jonathan-epp,exploring how adult neurogenesis balances memory,exploring how adult neurogenesis balances memory,Exploration of kidney | Exploratory laparotomy | Nephrotomy with exploration | Adult hypophosphatasia | Adult Teratoma,,MTH,C0401230 | C0085704 | C0194057 | C0268413 | C1368898,yes,Exploration of kidney | Exploratory laparotomy | Nephrotomy with exploration | Adult hypophosphatasia | Adult Teratoma,exploring how adult neurogenesis balances memory,Exploring How Adult Neurogenesis Balances Memory,
Jonathan Epp,https://profiles.ucalgary.ca/jonathan-epp,circuit stability versus learning,circuit stability versus learning,Emotional Stability | Graft-Versus-Tumor Induction | Graft-Versus-Tumor Induction Therapy | Graft versus host disease in skin | Autologous graft versus host disease,,MTH,C0237105 | C0281604 | C1881000 | C1610605 | C1328550,yes,Emotional Stability | Graft-Versus-Tumor Induction | Graft-Versus-Tumor Induction Therapy | Graft versus host disease in skin | Autologous graft versus host disease,circuit stability versus learning,Circuit Stability Versus Learning,Circuit Stability Versus Learning
Jonathan Lytton,https://profiles.ucalgary.ca/jonathan-lytton,cell signaling,cell signaling,mesenchymal-epithelial cell signaling | epithelial-mesenchymal cell signaling | mesodermal-endodermal cell signaling | endodermal-mesodermal cell signaling,cell signaling,MTH,C2752865 | C2752912 | C2753529 | C2753531,yes,mesenchymal-epithelial cell signaling | epithelial-mesenchymal cell signaling | mesodermal-endodermal cell signaling | endodermal-mesodermal cell signaling,mesodermal-endodermal cell signaling,Cell Signaling,Cell Signaling
Jonathan Lytton,https://profiles.ucalgary.ca/jonathan-lytton,muscle contraction,muscle contraction,Muscle Contraction,muscle contraction,MTH,C0026820,yes,Muscle Contraction,Muscle Contraction,Muscle Contraction,Muscle Contraction
Jonathan Lytton,https://profiles.ucalgary.ca/jonathan-lytton,such as neurons,such as neurons,,,,,no,such as neurons,such as neurons,Such As Neurons,
Jonathan Lytton,https://profiles.ucalgary.ca/jonathan-lytton,nckx4 member of the family,nckx4 member of the family,family member; absent | Family member identifier,member family,MTH,C2919082 | C3669172,yes,family member; absent | Family member identifier,Family member identifier,Family Member,Family Member
Jonathan Lytton,https://profiles.ucalgary.ca/jonathan-lytton,dental health,dental health,Dental Health Surveys,dental health,MSH,C0011366,yes,Dental Health Surveys,Dental Health Surveys,Dental Health,Dental Health
Jonathan Lytton,https://profiles.ucalgary.ca/jonathan-lytton,feeding behaviour as well as neurodegenerative pathological states,feeding behaviour as well as neurodegenerative pathological states,,,,,no,feeding behaviour as well as neurodegenerative pathological states,feeding behaviour as well as neurodegenerative pathological states,Feeding Behaviour As Well As Neurodegenerative Pathological States,
Jonathan Lytton,https://profiles.ucalgary.ca/jonathan-lytton,physiological techniques,physiological techniques,Physiological Processes | Physiological Stress | Cytological Techniques | Imaging Techniques | Relaxation Techniques,,MTH | MSH,C0031845 | C0449430 | C0010818 | C0079595 | C0035029,yes,Physiological Processes | Physiological Stress | Cytological Techniques | Imaging Techniques | Relaxation Techniques,physiological techniques,Physiological Techniques,Physiological Techniques
Jonathan Lytton,https://profiles.ucalgary.ca/jonathan-lytton,roles in cardiovascular,roles in cardiovascular,"Cardiovascular Diseases | Cardiovascular Agents | Syphilis, Cardiovascular",,MTH | MSH,C0007222 | C0007220 | C0039130,yes,"Cardiovascular Diseases | Cardiovascular Agents | Syphilis, Cardiovascular",roles in cardiovascular,Roles In Cardiovascular,Roles In Cardiovascular
Jonathan Lytton,https://profiles.ucalgary.ca/jonathan-lytton,neuronal biology,neuronal biology,Neuronal Ceroid-Lipofuscinoses | Neuronal heterotopia,,MTH,C0027877 | C0266491,yes,Neuronal Ceroid-Lipofuscinoses | Neuronal heterotopia,neuronal biology,Neuronal Biology,Neuronal Biology
Jonathan Smirl,https://profiles.ucalgary.ca/jonathan-smirl,sport-related concussion,sport-related concussion,OptiFlex Sport | Related (finding) | Age related macular degeneration | AIDS related complex | Procedure-related,sport related | related concussion,MTH,C3871580 | C0445223 | C0242383 | C0001857 | C2924519,yes,OptiFlex Sport | Related (finding) | Age related macular degeneration | AIDS related complex | Procedure-related,sport-related concussion,Sport Related Concussion,Sport Related Concussion
Jos Jan Eggermont,https://profiles.ucalgary.ca/jos-jan-eggermont,hearing and its disorders,hearing and its disorders,Hearing Disorders | Hearing disorders NEC in MedDRA | Hearing Disorders NEC in COSTART | hearing impairment,hearing disorders,MTH,C5848261 | C0949114 | C0549588 | C1384666,yes,Hearing Disorders | Hearing disorders NEC in MedDRA | Hearing Disorders NEC in COSTART | hearing impairment,Hearing Disorders,Hearing Disorders,Hearing Disorders
Jos Jan Eggermont,https://profiles.ucalgary.ca/jos-jan-eggermont,electrophysiology of the auditory system,electrophysiology of the auditory system,"Cardiac electrophysiology study | electrophysiology (procedure) | Auditory recruitment | Hallucinations, Auditory",,MTH | MSH,C5551547 | C1446476 | C0271510 | C0233762,yes,"Cardiac electrophysiology study | electrophysiology (procedure) | Auditory recruitment | Hallucinations, Auditory",electrophysiology of the auditory system,Electrophysiology Of The Auditory System,
Jos Jan Eggermont,https://profiles.ucalgary.ca/jos-jan-eggermont,experience dependent developmental,experience dependent developmental,Experience | Experience (Practice) | Adverse Experience | Dependent Personality Disorder | Developmental Disabilities,dependent developmental,MTH,C0596545 | C0237607 | C5891053 | C0011548 | C0008073,yes,Experience | Experience (Practice) | Adverse Experience | Dependent Personality Disorder | Developmental Disabilities,experience dependent developmental,Experience Dependent Developmental,Experience Dependent Developmental
Jos Jan Eggermont,https://profiles.ucalgary.ca/jos-jan-eggermont,brain oscillations,brain oscillations,Brain Concussion | Brain Injuries | Brain Neoplasms | Brain Diseases | Macrosaccadic oscillations,,MTH | SNOMEDCT_US,C0006107 | C0270611 | C0006118 | C0006111 | C0585556,yes,Brain Concussion | Brain Injuries | Brain Neoplasms | Brain Diseases | Macrosaccadic oscillations,brain oscillations,Brain Oscillations,Brain Oscillations
Jos Jan Eggermont,https://profiles.ucalgary.ca/jos-jan-eggermont,application to auditory-related disorders,application to auditory-related disorders,Application procedure | Therapeutic heat application | Auditory recruitment | Related (finding) | Age related macular degeneration,,MTH,C0185125 | C0150611 | C0271510 | C0445223 | C0242383,yes,Application procedure | Therapeutic heat application | Auditory recruitment | Related (finding) | Age related macular degeneration,application to auditory-related disorders,Application To Auditory Related Disorders,
Jos Jan Eggermont,https://profiles.ucalgary.ca/jos-jan-eggermont,clinical implications,clinical implications,Clinical Trials,,MTH,C0008976,yes,Clinical Trials,clinical implications,Clinical Implications,Clinical Implications
Jos Jan Eggermont,https://profiles.ucalgary.ca/jos-jan-eggermont,predictive coding from cocktail parties to auditory-related disorders,predictive coding from cocktail parties to auditory-related disorders,,,,,no,predictive coding from cocktail parties to auditory-related disorders,predictive coding from cocktail parties to auditory-related disorders,Predictive Coding From Cocktail Parties To Auditory Related Disorders,
Julia Hews-Girard,https://profiles.ucalgary.ca/julia-hews-girard,epidemiology,epidemiology,,epidemiology,,,no,epidemiology,epidemiology,Epidemiology,Epidemiology
Julia Hews-Girard,https://profiles.ucalgary.ca/julia-hews-girard,chronic disease,chronic disease,Chronic disease | Chronic Obstructive Airway Disease | Chronic granulomatous disease | Chronic lung disease,chronic disease,MTH,C0008679 | C0024117 | C0018203 | C0746102,yes,Chronic disease | Chronic Obstructive Airway Disease | Chronic granulomatous disease | Chronic lung disease,Chronic disease,Chronic Disease,Chronic Disease
